ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
18631,40.0,820.0,33.0,160.0,65.0,24.42,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
25058,250.0,129.0,12.0,10.0,4.0,56.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
9494,578.0,385.0,29.0,27.9,8.7,53.4,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
2765,679.0,277.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Sedimentary Rock,Desconhecido,NO,Southeast,0,0,1,1,1,1
3571,845.0,117.0,11.5,5.1,3.7,27.4,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
2142,400.0,260.0,2.6666667,16.0,7.0,89.3,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
15390,130.0,730.0,33.0,20.0,8.0,112.0,Savannah,Cerrado,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
8546,844.0,130.0,11.0,13.0,3.0,28.3,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
6507,706.0,185.0,18.1,13.6,7.0,37.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
3748,779.0,104.0,9.8,2.2,1.7,31.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
31885,306.0,361.0,17.0,2.4,1.4,10.33,Savannah,Amazonia,Metamorphic Rock,Auger,NO,North,0,0,1,0,0,0
7818,639.0,293.0,18.7,38.5,11.0,80.7,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
27547,750.0,218.0,22.8,7.9,3.7,56.2,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
23136,810.0,146.0,9.0,14.0,6.0,32.7,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
15726,180.0,660.0,11.0,4.0,2.0,29.1,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
8531,617.0,330.0,21.0,15.0,5.0,36.2,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
11739,653.1,299.9,28.5,18.0,10.7,59.0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
25822,320.0,463.0,20.0,24.0,14.0,66.5,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
6960,828.0,83.0,9.8,24.7,6.6,46.4,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
15977,637.0,240.0,17.0,11.0,3.0,17.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Profile,YES,Southeast,1,1,1,0,0,0
18207,220.0,670.0,35.0,20.0,3.0,77.9,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
5053,880.0,97.0,9.0,18.5,9.3,38.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
5517,812.0,121.0,7.9,5.7,2.6,28.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
20488,820.0,140.0,18.0,14.0,3.0,40.2,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
13964,420.0,250.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
13385,270.0,290.0,17.0,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
15884,760.0,160.0,7.0,10.0,7.0,52.2,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
22589,759.0,226.0,17.0,7.0,3.0,35.1,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
939,396.0,144.0,39.22,42.3,15.7,144.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
6820,815.0,105.0,9.0,12.1,7.8,38.4,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
30592,200.0,670.0,23.0,37.0,22.0,87.5,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
23097,840.0,123.0,6.0,9.0,4.0,26.9,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
15967,130.0,457.0,11.0,4.0,1.0,43.1,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
34722,580.0,360.0,32.0,8.4,4.3,12.7,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
3026,307.54,555.89,12.76,3.0,8.3,184.7,Dense Ombrophylous Forest,Amazonia,Sedimentary Rock,Auger,NO,North,0,0,0,0,0,0
12857,760.0,140.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
30348,100.0,800.0,29.0,18.0,6.0,89.5,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
18377,90.0,890.0,32.0,77.0,29.0,120.0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
9851,917.0,70.0,7.0,0.5,0.4,12.1,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
8780,725.0,128.0,19.0,32.0,8.0,56.4,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
8744,93.0,781.0,38.0,11.0,3.0,65.6,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
12761,170.0,450.0,17.0,13.0,5.2,44.1,Savannah,Mata Atlantica,Igneous Rock,Desconhecido,YES,South,0,0,1,1,1,1
12772,150.0,550.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
24394,120.0,512.0,15.0,45.0,32.0,176.8,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
7337,726.0,196.0,16.8,29.8,12.6,60.9,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
18783,500.0,480.0,35.0,43.0,9.0,95.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
2771,750.0,220.0,17.0,13.0,5.2,44.1,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Desconhecido,NO,Southeast,0,0,1,1,1,1
27844,720.0,251.0,21.5,37.9,13.6,57.4,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
3613,843.0,133.0,11.5,9.5,5.7,28.0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
30048,110.0,750.0,34.0,65.0,27.0,127.6,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
15236,350.0,630.0,9.0,5.0,1.0,14.1,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
25721,730.0,165.0,13.0,11.0,3.0,39.6,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
982,200.0,413.0,41.62,9.8,6.5,130.9,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
15678,90.0,760.0,19.0,6.0,2.0,55.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
2386,450.0,470.0,22.5,13.0,5.2,44.1,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,1,1,1
34123,637.0,240.0,32.07,13.0,5.2,44.1,Open Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,Profile,YES,Northeast,1,1,0,1,1,1
6651,783.0,108.0,14.5,34.9,14.5,64.4,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
15144,540.0,400.0,12.0,4.0,1.0,54.9,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
14121,370.0,230.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
17927,760.0,220.0,10.0,6.0,2.0,30.4,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
17013,300.0,580.0,31.0,48.0,7.0,118.8,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
1009,230.0,166.0,46.96,72.6,28.0,163.2,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
32589,110.0,800.0,25.8,11.7,7.3,19.0,Dense Ombrophylous Forest,Amazonia,Igneous Rock,Profile,NO,North,0,0,0,0,0,0
20761,680.0,200.0,13.0,20.0,2.0,40.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
4209,831.0,115.0,17.0,4.0,5.0,19.7,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,1,0,0,0
34633,871.9,93.1,12.0,1.0,1.0,20.0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
13261,470.0,290.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
14041,710.0,120.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
13401,210.0,400.0,17.0,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
20782,690.0,160.0,10.0,16.0,3.0,68.2,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
838,721.0,113.0,29.93,10.8,1.9,57.3,Seasonal Deciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,South,0,0,0,0,0,0
13164,70.0,600.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
14300,475.0,464.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,1,1,1,1
26370,832.0,129.0,16.0,16.0,5.0,39.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
16544,760.0,180.0,15.0,8.0,2.0,31.4,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
20035,900.0,80.0,15.0,3.0,2.0,22.5,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
34718,160.0,690.0,42.2,18.8,11.3,30.1,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
8416,777.0,165.0,12.0,2.0,1.0,19.6,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
10687,753.4,174.7,15.0,32.7,7.7,55.0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
