Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region
160.0,820.0,36.0,48.0,11.0,102.5,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
551.0,385.0,19.5,26.0,11.0,73.2,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
818.0,92.0,24.8,17.7,9.9,44.8,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
780.0,140.0,8.0,5.0,1.0,36.4,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
220.0,307.0,18.0,50.0,21.0,109.8,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
812.0,151.0,20.6,28.5,13.6,76.0,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
749.0,117.0,15.1,6.1,3.5,48.2,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
756.0,99.0,14.5,25.1,6.4,53.7,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
420.0,245.0,12.0,31.0,13.0,71.9,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
580.0,286.0,23.0,30.0,8.0,66.5,0,0,0,0,0,0,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
870.0,112.0,10.4,6.3,2.9,28.5,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
760.0,180.0,8.0,7.0,2.0,31.3,0,0,0,0,0,0,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast
387.3,553.1,30.0,1.0,1.0,20.0,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
100.0,800.0,25.9,13.0,5.2,44.1,0,0,0,1,1,1,Savannah,Cerrado,Metamorphic Rock,Auger,NO,Southeast
640.0,320.0,17.0,6.0,4.0,35.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Profile,YES,Southeast
327.0,326.0,22.8,101.8,32.8,174.5,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
400.0,150.0,2.8888888,18.0,8.0,81.5,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast
130.0,840.0,35.0,38.0,7.0,94.0,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
796.0,160.0,12.0,9.3,6.9,39.7,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
713.0,77.0,9.0,15.3,4.8,42.3,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
860.0,80.0,13.0,7.0,2.0,33.3,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
760.0,200.0,18.0,7.0,4.0,29.8,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
450.0,490.0,24.8,13.0,5.2,44.1,0,0,0,1,1,1,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
620.0,340.0,12.0,6.0,3.0,31.7,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Profile,NO,Southeast
270.0,710.0,23.0,4.0,2.0,52.2,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
724.0,232.0,17.0,19.0,7.0,45.2,0,0,1,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
660.0,250.0,30.39,7.0,5.0,32.88,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
360.0,457.0,17.0,14.0,5.0,71.8,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
200.0,690.0,28.0,35.0,24.0,116.4,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast
773.0,155.0,17.6,13.6,4.7,43.9,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
856.0,96.0,7.0,22.7,12.9,45.7,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
130.0,850.0,41.0,37.0,9.0,93.1,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast
860.0,120.0,18.0,22.0,12.0,58.7,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
820.0,140.0,18.0,4.0,2.0,36.2,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
857.0,73.0,14.0,12.4,15.5,43.5,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast
