ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
12794,100.0,610.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
20805,760.0,160.0,13.0,11.0,1.0,45.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
412,46.3,604.96,59.44,0.7,0.4,17.6,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
27666,717.0,238.0,17.6,20.5,4.3,41.3,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
5193,842.0,136.0,6.5,5.0,4.1,23.1,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
30586,40.0,790.0,28.0,24.0,10.0,79.0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
32597,410.0,220.0,13.8,5.4,2.1,7.5,Dense Ombrophylous Forest,Amazonia,Igneous Rock,Profile,NO,North,0,0,0,0,0,0
7008,811.0,164.0,8.4,5.3,4.0,29.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
25942,400.0,416.0,21.0,28.0,6.0,65.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
29389,798.0,151.0,15.8,16.4,4.1,45.0,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
15163,40.0,600.0,6.0,4.0,2.0,31.9,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
10851,873.5,90.0,16.0,23.4,6.0,63.7,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
14129,160.0,170.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,YES,South,0,0,1,1,1,1
18868,50.0,850.0,29.0,30.0,11.0,87.6,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
31282,660.0,300.0,14.0,1.0,1.0,44.7,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
